,Prediction,Actual
274,satisfied,satisfied
275,satisfied,satisfied
278,satisfied,satisfied
279,dissatisfied,dissatisfied
285,dissatisfied,dissatisfied
289,satisfied,satisfied
291,satisfied,satisfied
292,satisfied,satisfied
293,satisfied,satisfied
294,satisfied,satisfied
304,dissatisfied,dissatisfied
306,satisfied,dissatisfied
307,satisfied,satisfied
308,satisfied,satisfied
310,satisfied,satisfied
311,satisfied,satisfied
312,satisfied,satisfied
317,dissatisfied,dissatisfied
318,dissatisfied,dissatisfied
319,dissatisfied,dissatisfied
320,dissatisfied,satisfied
321,satisfied,satisfied
322,satisfied,satisfied
323,satisfied,satisfied
324,satisfied,satisfied
325,satisfied,satisfied
326,satisfied,satisfied
327,satisfied,satisfied
328,satisfied,satisfied
336,dissatisfied,dissatisfied
337,dissatisfied,dissatisfied
338,dissatisfied,dissatisfied
340,satisfied,satisfied
341,dissatisfied,satisfied
342,satisfied,satisfied
344,satisfied,satisfied
345,satisfied,satisfied
346,satisfied,satisfied
348,satisfied,satisfied
350,satisfied,satisfied
352,dissatisfied,dissatisfied
355,dissatisfied,dissatisfied
356,dissatisfied,dissatisfied
357,satisfied,satisfied
359,satisfied,satisfied
361,satisfied,dissatisfied
363,satisfied,satisfied
364,satisfied,satisfied
365,satisfied,satisfied
366,satisfied,satisfied
367,satisfied,satisfied
369,satisfied,satisfied
377,dissatisfied,dissatisfied
378,dissatisfied,dissatisfied
379,satisfied,satisfied
380,satisfied,satisfied
381,satisfied,dissatisfied
382,satisfied,satisfied
383,satisfied,satisfied
384,satisfied,satisfied
385,satisfied,satisfied
386,satisfied,satisfied
387,satisfied,satisfied
389,satisfied,satisfied
391,satisfied,satisfied
400,satisfied,dissatisfied
401,dissatisfied,dissatisfied
402,satisfied,dissatisfied
407,satisfied,satisfied
409,satisfied,satisfied
410,dissatisfied,satisfied
411,satisfied,satisfied
420,dissatisfied,dissatisfied
422,dissatisfied,dissatisfied
423,dissatisfied,dissatisfied
424,satisfied,satisfied
425,satisfied,satisfied
428,satisfied,satisfied
429,satisfied,satisfied
430,satisfied,satisfied
431,satisfied,satisfied
432,satisfied,satisfied
434,satisfied,satisfied
439,satisfied,dissatisfied
440,dissatisfied,dissatisfied
441,dissatisfied,dissatisfied
442,dissatisfied,dissatisfied
443,dissatisfied,dissatisfied
445,dissatisfied,dissatisfied
446,satisfied,dissatisfied
449,satisfied,satisfied
450,satisfied,satisfied
451,satisfied,satisfied
452,satisfied,satisfied
453,satisfied,satisfied
454,satisfied,satisfied
455,satisfied,satisfied
456,satisfied,satisfied
458,dissatisfied,satisfied
460,dissatisfied,dissatisfied
461,dissatisfied,dissatisfied
463,dissatisfied,dissatisfied
466,dissatisfied,dissatisfied
467,dissatisfied,dissatisfied
468,satisfied,dissatisfied
469,satisfied,satisfied
470,dissatisfied,dissatisfied
472,satisfied,satisfied
473,satisfied,satisfied
474,satisfied,satisfied
475,satisfied,satisfied
476,satisfied,satisfied
478,satisfied,satisfied
479,satisfied,satisfied
480,satisfied,satisfied
482,satisfied,satisfied
483,satisfied,satisfied
489,satisfied,dissatisfied
490,dissatisfied,dissatisfied
491,dissatisfied,dissatisfied
494,dissatisfied,dissatisfied
495,dissatisfied,dissatisfied
496,dissatisfied,dissatisfied
497,dissatisfied,dissatisfied
498,dissatisfied,satisfied
499,dissatisfied,satisfied
500,satisfied,satisfied
501,dissatisfied,satisfied
502,satisfied,satisfied
503,satisfied,satisfied
504,satisfied,satisfied
505,satisfied,satisfied
506,satisfied,satisfied
517,dissatisfied,dissatisfied
518,dissatisfied,dissatisfied
519,dissatisfied,dissatisfied
520,dissatisfied,dissatisfied
521,dissatisfied,dissatisfied
522,satisfied,satisfied
525,satisfied,satisfied
526,satisfied,satisfied
527,satisfied,satisfied
528,satisfied,satisfied
529,satisfied,satisfied
530,satisfied,satisfied
535,satisfied,satisfied
541,dissatisfied,dissatisfied
544,satisfied,dissatisfied
550,satisfied,dissatisfied
553,satisfied,satisfied
554,satisfied,satisfied
555,satisfied,satisfied
556,satisfied,satisfied
557,satisfied,satisfied
558,satisfied,satisfied
559,satisfied,satisfied
560,satisfied,satisfied
567,dissatisfied,dissatisfied
568,satisfied,dissatisfied
569,dissatisfied,dissatisfied
572,satisfied,satisfied
573,satisfied,satisfied
574,satisfied,satisfied
575,satisfied,satisfied
576,satisfied,satisfied
577,satisfied,satisfied
579,satisfied,satisfied
580,satisfied,satisfied
581,satisfied,satisfied
583,satisfied,satisfied
589,dissatisfied,dissatisfied
590,satisfied,dissatisfied
591,dissatisfied,dissatisfied
593,satisfied,dissatisfied
594,dissatisfied,dissatisfied
596,satisfied,satisfied
597,satisfied,satisfied
598,satisfied,satisfied
599,satisfied,satisfied
600,satisfied,satisfied
602,satisfied,satisfied
603,satisfied,satisfied
613,dissatisfied,dissatisfied
614,dissatisfied,dissatisfied
615,satisfied,dissatisfied
619,dissatisfied,satisfied
622,satisfied,satisfied
623,satisfied,satisfied
625,satisfied,satisfied
626,satisfied,satisfied
627,satisfied,satisfied
628,satisfied,satisfied
629,satisfied,satisfied
630,satisfied,satisfied
631,satisfied,satisfied
634,satisfied,satisfied
635,satisfied,satisfied
636,satisfied,satisfied
644,dissatisfied,dissatisfied
646,dissatisfied,satisfied
647,dissatisfied,satisfied
648,satisfied,satisfied
649,satisfied,satisfied
650,satisfied,satisfied
651,satisfied,satisfied
652,satisfied,satisfied
653,satisfied,satisfied
662,satisfied,dissatisfied
666,dissatisfied,dissatisfied
667,dissatisfied,dissatisfied
671,dissatisfied,dissatisfied
673,satisfied,satisfied
674,satisfied,satisfied
675,satisfied,satisfied
676,satisfied,satisfied
677,satisfied,satisfied
678,satisfied,satisfied
682,satisfied,satisfied
690,dissatisfied,satisfied
693,dissatisfied,dissatisfied
695,dissatisfied,dissatisfied
696,dissatisfied,dissatisfied
697,satisfied,dissatisfied
698,satisfied,satisfied
700,satisfied,dissatisfied
701,satisfied,satisfied
702,satisfied,satisfied
703,satisfied,satisfied
704,satisfied,satisfied
705,satisfied,satisfied
706,satisfied,satisfied
708,satisfied,satisfied
713,satisfied,satisfied
716,dissatisfied,dissatisfied
719,dissatisfied,satisfied
720,dissatisfied,dissatisfied
723,dissatisfied,dissatisfied
725,satisfied,satisfied
726,satisfied,satisfied
727,satisfied,satisfied
729,satisfied,dissatisfied
732,satisfied,satisfied
733,satisfied,satisfied
734,satisfied,satisfied
735,satisfied,satisfied
740,satisfied,satisfied
741,satisfied,satisfied
742,satisfied,satisfied
744,dissatisfied,dissatisfied
754,dissatisfied,dissatisfied
756,satisfied,dissatisfied
759,satisfied,satisfied
761,satisfied,satisfied
762,satisfied,satisfied
765,satisfied,satisfied
766,dissatisfied,satisfied
767,satisfied,satisfied
768,satisfied,satisfied
769,satisfied,satisfied
770,satisfied,satisfied
773,satisfied,satisfied
774,satisfied,satisfied
778,satisfied,satisfied
780,satisfied,satisfied
788,satisfied,dissatisfied
789,dissatisfied,satisfied
790,dissatisfied,dissatisfied
791,dissatisfied,dissatisfied
792,dissatisfied,dissatisfied
793,satisfied,dissatisfied
794,satisfied,satisfied
795,satisfied,satisfied
796,dissatisfied,satisfied
798,satisfied,satisfied
799,satisfied,satisfied
800,satisfied,satisfied
801,satisfied,satisfied
803,satisfied,satisfied
804,satisfied,satisfied
805,satisfied,satisfied
816,dissatisfied,dissatisfied
817,satisfied,dissatisfied
818,dissatisfied,dissatisfied
821,dissatisfied,dissatisfied
824,dissatisfied,satisfied
825,satisfied,satisfied
826,satisfied,satisfied
827,satisfied,satisfied
828,satisfied,satisfied
829,satisfied,satisfied
830,satisfied,satisfied
831,satisfied,satisfied
832,satisfied,satisfied
842,satisfied,satisfied
843,dissatisfied,satisfied
844,satisfied,satisfied
845,satisfied,satisfied
847,dissatisfied,satisfied
848,satisfied,satisfied
849,satisfied,satisfied
850,satisfied,satisfied
852,satisfied,satisfied
853,satisfied,satisfied
854,satisfied,satisfied
855,satisfied,satisfied
856,satisfied,satisfied
857,satisfied,satisfied
858,satisfied,satisfied
859,satisfied,satisfied
862,satisfied,satisfied
873,dissatisfied,dissatisfied
874,dissatisfied,dissatisfied
875,dissatisfied,dissatisfied
876,dissatisfied,dissatisfied
878,dissatisfied,satisfied
882,satisfied,satisfied
883,satisfied,satisfied
884,satisfied,satisfied
885,satisfied,satisfied
886,satisfied,satisfied
887,satisfied,satisfied
888,satisfied,satisfied
889,satisfied,satisfied
890,satisfied,satisfied
893,satisfied,satisfied
894,satisfied,satisfied
895,satisfied,satisfied
897,satisfied,satisfied
898,satisfied,satisfied
900,satisfied,dissatisfied
905,satisfied,satisfied
907,dissatisfied,dissatisfied
908,dissatisfied,dissatisfied
910,dissatisfied,dissatisfied
911,dissatisfied,dissatisfied
912,satisfied,dissatisfied
914,dissatisfied,dissatisfied
916,satisfied,satisfied
918,satisfied,satisfied
919,dissatisfied,satisfied
920,satisfied,satisfied
921,satisfied,satisfied
922,satisfied,satisfied
923,satisfied,satisfied
924,satisfied,satisfied
925,satisfied,satisfied
926,satisfied,satisfied
928,satisfied,satisfied
930,satisfied,satisfied
931,satisfied,satisfied
932,satisfied,satisfied
933,satisfied,satisfied
934,satisfied,satisfied
941,dissatisfied,dissatisfied
945,dissatisfied,dissatisfied
946,dissatisfied,dissatisfied
947,satisfied,dissatisfied
948,dissatisfied,dissatisfied
950,dissatisfied,dissatisfied
952,dissatisfied,dissatisfied
953,satisfied,dissatisfied
955,dissatisfied,satisfied
956,dissatisfied,satisfied
959,satisfied,satisfied
960,satisfied,satisfied
961,satisfied,satisfied
962,satisfied,satisfied
963,satisfied,satisfied
964,satisfied,satisfied
965,satisfied,satisfied
966,satisfied,satisfied
967,satisfied,satisfied
971,satisfied,satisfied
973,satisfied,satisfied
978,dissatisfied,dissatisfied
981,satisfied,dissatisfied
983,dissatisfied,dissatisfied
984,satisfied,dissatisfied
987,dissatisfied,dissatisfied
988,satisfied,dissatisfied
991,satisfied,satisfied
993,satisfied,satisfied
994,dissatisfied,satisfied
995,satisfied,satisfied
996,satisfied,satisfied
997,satisfied,satisfied
998,satisfied,satisfied
1000,dissatisfied,satisfied
1001,satisfied,satisfied
1002,satisfied,satisfied
1003,satisfied,satisfied
1004,satisfied,satisfied
1005,satisfied,satisfied
1007,satisfied,satisfied
1015,dissatisfied,satisfied
1020,dissatisfied,dissatisfied
1021,dissatisfied,dissatisfied
1022,dissatisfied,dissatisfied
1023,satisfied,dissatisfied
1024,satisfied,dissatisfied
1025,dissatisfied,satisfied
1028,satisfied,satisfied
1029,satisfied,satisfied
1030,satisfied,satisfied
1031,satisfied,satisfied
1032,satisfied,satisfied
1033,satisfied,satisfied
1034,satisfied,satisfied
1035,satisfied,satisfied
1037,satisfied,satisfied
1052,dissatisfied,dissatisfied
1053,dissatisfied,dissatisfied
1054,dissatisfied,dissatisfied
1055,satisfied,dissatisfied
1056,dissatisfied,dissatisfied
1061,satisfied,satisfied
1062,satisfied,satisfied
1063,satisfied,satisfied
1064,satisfied,satisfied
1065,satisfied,satisfied
1066,satisfied,satisfied
1068,satisfied,satisfied
1069,satisfied,satisfied
1070,satisfied,satisfied
1074,dissatisfied,dissatisfied
1081,dissatisfied,satisfied
1082,dissatisfied,dissatisfied
1083,dissatisfied,dissatisfied
1084,dissatisfied,dissatisfied
1085,satisfied,dissatisfied
1087,dissatisfied,satisfied
1091,satisfied,satisfied
1092,satisfied,satisfied
1093,satisfied,satisfied
1094,satisfied,satisfied
1095,satisfied,satisfied
1096,satisfied,satisfied
1097,satisfied,satisfied
1099,satisfied,satisfied
1100,satisfied,satisfied
1101,satisfied,dissatisfied
1114,satisfied,dissatisfied
1115,dissatisfied,dissatisfied
1116,satisfied,dissatisfied
1117,dissatisfied,dissatisfied
1118,dissatisfied,dissatisfied
1119,satisfied,satisfied
1120,satisfied,satisfied
1125,satisfied,satisfied
1126,satisfied,satisfied
1127,satisfied,satisfied
1128,satisfied,satisfied
1129,satisfied,satisfied
1130,satisfied,satisfied
1142,dissatisfied,dissatisfied
1143,dissatisfied,dissatisfied
1144,dissatisfied,dissatisfied
1146,satisfied,satisfied
1147,satisfied,satisfied
1148,satisfied,satisfied
1149,satisfied,satisfied
1150,satisfied,satisfied
1151,satisfied,satisfied
1152,satisfied,satisfied
1153,satisfied,satisfied
1154,satisfied,satisfied
1155,satisfied,satisfied
1156,satisfied,satisfied
1157,satisfied,satisfied
1159,satisfied,satisfied
1160,satisfied,satisfied
1174,dissatisfied,satisfied
1176,dissatisfied,dissatisfied
1179,satisfied,dissatisfied
1181,dissatisfied,dissatisfied
1183,satisfied,satisfied
1184,dissatisfied,satisfied
1185,satisfied,satisfied
1186,satisfied,satisfied
1187,satisfied,satisfied
1188,satisfied,satisfied
1189,satisfied,satisfied
1190,satisfied,satisfied
1191,satisfied,satisfied
1192,satisfied,satisfied
1193,satisfied,satisfied
1194,satisfied,satisfied
1195,satisfied,satisfied
1197,satisfied,satisfied
1198,satisfied,satisfied
1204,dissatisfied,dissatisfied
1219,dissatisfied,dissatisfied
1222,dissatisfied,dissatisfied
1223,dissatisfied,satisfied
1224,satisfied,satisfied
1227,satisfied,satisfied
1228,satisfied,dissatisfied
1231,satisfied,satisfied
1232,satisfied,satisfied
1233,satisfied,satisfied
1234,satisfied,satisfied
1235,satisfied,satisfied
1237,satisfied,satisfied
1238,satisfied,satisfied
1239,satisfied,satisfied
1240,satisfied,satisfied
1241,satisfied,satisfied
1242,satisfied,satisfied
1246,satisfied,satisfied
1247,dissatisfied,dissatisfied
1253,dissatisfied,dissatisfied
1255,satisfied,dissatisfied
1256,dissatisfied,dissatisfied
1257,satisfied,dissatisfied
1258,dissatisfied,dissatisfied
1261,dissatisfied,dissatisfied
1265,dissatisfied,satisfied
1266,satisfied,satisfied
1267,satisfied,satisfied
1268,satisfied,satisfied
1269,satisfied,satisfied
1270,satisfied,satisfied
1271,satisfied,satisfied
1272,satisfied,satisfied
1273,satisfied,satisfied
1274,satisfied,satisfied
1275,satisfied,satisfied
1276,satisfied,satisfied
1277,satisfied,satisfied
1278,satisfied,satisfied
1280,satisfied,satisfied
1286,satisfied,satisfied
1287,dissatisfied,dissatisfied
1288,satisfied,dissatisfied
1291,satisfied,satisfied
1292,satisfied,dissatisfied
1293,satisfied,satisfied
1294,satisfied,satisfied
1296,satisfied,dissatisfied
1300,dissatisfied,dissatisfied
1301,satisfied,satisfied
1303,satisfied,satisfied
1304,satisfied,satisfied
1314,satisfied,dissatisfied
1316,satisfied,satisfied
1317,satisfied,satisfied
1318,satisfied,satisfied
1319,satisfied,satisfied
1320,satisfied,satisfied
1321,satisfied,satisfied
1322,satisfied,satisfied
1323,satisfied,satisfied
1324,dissatisfied,dissatisfied
1326,satisfied,satisfied
1328,satisfied,satisfied
1338,satisfied,satisfied
1339,satisfied,satisfied
1340,satisfied,satisfied
1341,satisfied,satisfied
1342,satisfied,satisfied
1344,satisfied,satisfied
1345,satisfied,dissatisfied
1346,dissatisfied,dissatisfied
1350,dissatisfied,dissatisfied
1351,dissatisfied,dissatisfied
1352,dissatisfied,dissatisfied
1353,satisfied,satisfied
1354,satisfied,satisfied
1357,satisfied,dissatisfied
1359,satisfied,dissatisfied
1361,dissatisfied,satisfied
1362,satisfied,satisfied
1363,satisfied,satisfied
1364,satisfied,satisfied
1371,dissatisfied,dissatisfied
1372,satisfied,satisfied
1373,satisfied,satisfied
1374,satisfied,satisfied
1375,satisfied,satisfied
1376,satisfied,satisfied
1378,satisfied,dissatisfied
1380,dissatisfied,dissatisfied
1382,satisfied,satisfied
1383,dissatisfied,satisfied
1384,satisfied,satisfied
1385,satisfied,satisfied
1386,satisfied,satisfied
1388,dissatisfied,satisfied
1389,dissatisfied,satisfied
1391,dissatisfied,satisfied
1394,satisfied,dissatisfied
1396,dissatisfied,dissatisfied
1397,satisfied,dissatisfied
1399,satisfied,satisfied
1401,dissatisfied,satisfied
1402,satisfied,satisfied
1403,satisfied,satisfied
1404,satisfied,satisfied
1406,satisfied,satisfied
1408,satisfied,satisfied
1412,dissatisfied,dissatisfied
1416,satisfied,dissatisfied
1418,satisfied,satisfied
1420,satisfied,satisfied
1425,dissatisfied,dissatisfied
1426,dissatisfied,dissatisfied
1428,satisfied,satisfied
1429,satisfied,satisfied
1431,satisfied,satisfied
1432,satisfied,satisfied
1436,dissatisfied,dissatisfied
1439,satisfied,satisfied
1440,satisfied,satisfied
1442,satisfied,satisfied
1444,satisfied,satisfied
1446,dissatisfied,dissatisfied
1447,satisfied,satisfied
1449,satisfied,satisfied
1452,dissatisfied,dissatisfied
1454,satisfied,dissatisfied
1455,satisfied,satisfied
1456,satisfied,satisfied
1457,dissatisfied,satisfied
1460,satisfied,dissatisfied
1461,dissatisfied,dissatisfied
1462,dissatisfied,dissatisfied
1463,dissatisfied,dissatisfied
1464,satisfied,dissatisfied
1465,satisfied,satisfied
1466,satisfied,satisfied
1467,satisfied,satisfied
1475,satisfied,satisfied
1476,satisfied,satisfied
1477,satisfied,satisfied
1482,dissatisfied,dissatisfied
1484,satisfied,satisfied
1489,satisfied,satisfied
1490,dissatisfied,dissatisfied
1502,satisfied,satisfied
1503,satisfied,satisfied
1504,satisfied,satisfied
1505,satisfied,satisfied
1510,satisfied,satisfied
1514,satisfied,satisfied
1515,satisfied,satisfied
1516,satisfied,satisfied
1520,dissatisfied,dissatisfied
1521,dissatisfied,dissatisfied
1522,dissatisfied,dissatisfied
1523,satisfied,dissatisfied
1524,dissatisfied,satisfied
1526,satisfied,satisfied
1527,satisfied,satisfied
1528,satisfied,satisfied
1530,satisfied,satisfied
1531,satisfied,satisfied
1533,dissatisfied,dissatisfied
1535,satisfied,dissatisfied
1536,satisfied,satisfied
1545,dissatisfied,dissatisfied
1546,dissatisfied,satisfied
1553,satisfied,satisfied
1554,satisfied,satisfied
1558,dissatisfied,dissatisfied
1561,satisfied,dissatisfied
1563,satisfied,satisfied
1564,satisfied,satisfied
1565,satisfied,satisfied
1566,satisfied,satisfied
1570,satisfied,dissatisfied
1572,satisfied,satisfied
1575,satisfied,dissatisfied
1577,satisfied,satisfied
1582,dissatisfied,dissatisfied
1584,satisfied,satisfied
1589,dissatisfied,dissatisfied
1590,satisfied,satisfied
1594,satisfied,satisfied
1596,satisfied,satisfied
1603,satisfied,satisfied
1604,satisfied,satisfied
1606,satisfied,satisfied
1610,dissatisfied,dissatisfied
1611,dissatisfied,dissatisfied
1613,satisfied,satisfied
1614,dissatisfied,dissatisfied
1615,satisfied,satisfied
1616,satisfied,satisfied
1617,satisfied,dissatisfied
1619,dissatisfied,satisfied
1621,satisfied,satisfied
1624,dissatisfied,dissatisfied
1626,satisfied,satisfied
1628,dissatisfied,satisfied
1629,satisfied,satisfied
1630,satisfied,satisfied
1633,satisfied,satisfied
1634,satisfied,satisfied
1635,satisfied,satisfied
1638,satisfied,satisfied
1642,dissatisfied,dissatisfied
1644,satisfied,satisfied
1648,satisfied,dissatisfied
1652,dissatisfied,dissatisfied
1653,satisfied,satisfied
1656,dissatisfied,dissatisfied
1661,satisfied,satisfied
1663,satisfied,satisfied
1665,dissatisfied,satisfied
1668,satisfied,satisfied
1669,satisfied,satisfied
1670,satisfied,satisfied
1673,satisfied,satisfied
1675,dissatisfied,dissatisfied
1677,satisfied,satisfied
1678,satisfied,satisfied
1681,satisfied,dissatisfied
1682,satisfied,satisfied
1683,satisfied,satisfied
1685,satisfied,dissatisfied
1686,satisfied,dissatisfied
1694,satisfied,satisfied
1696,satisfied,satisfied
1699,dissatisfied,dissatisfied
1700,dissatisfied,dissatisfied
1703,dissatisfied,dissatisfied
1704,satisfied,dissatisfied
1705,dissatisfied,dissatisfied
1706,dissatisfied,dissatisfied
1707,dissatisfied,dissatisfied
1708,dissatisfied,dissatisfied
1710,satisfied,satisfied
1711,satisfied,satisfied
1712,satisfied,satisfied
1713,satisfied,satisfied
1716,satisfied,dissatisfied
1717,dissatisfied,dissatisfied
1718,dissatisfied,dissatisfied
1721,dissatisfied,dissatisfied
1724,dissatisfied,dissatisfied
1727,dissatisfied,dissatisfied
1729,satisfied,satisfied
1730,satisfied,satisfied
1731,satisfied,satisfied
1732,dissatisfied,satisfied
1733,satisfied,satisfied
1734,satisfied,satisfied
1735,satisfied,satisfied
1736,satisfied,satisfied
1737,satisfied,satisfied
1738,satisfied,satisfied
1740,dissatisfied,dissatisfied
1745,satisfied,dissatisfied
1750,dissatisfied,satisfied
1751,satisfied,satisfied
1752,satisfied,satisfied
1753,satisfied,satisfied
1755,satisfied,satisfied
1756,satisfied,satisfied
1757,satisfied,satisfied
1758,satisfied,satisfied
1759,satisfied,satisfied
1760,satisfied,satisfied
1761,satisfied,satisfied
1762,satisfied,satisfied
1764,satisfied,satisfied
1765,satisfied,satisfied
1769,satisfied,dissatisfied
1771,satisfied,satisfied
1772,satisfied,satisfied
1777,dissatisfied,dissatisfied
1784,dissatisfied,dissatisfied
1785,satisfied,satisfied
1787,dissatisfied,satisfied
1790,satisfied,satisfied
1791,dissatisfied,satisfied
1792,satisfied,satisfied
1793,dissatisfied,satisfied
1794,satisfied,satisfied
1795,satisfied,satisfied
1797,satisfied,satisfied
1803,dissatisfied,dissatisfied
1807,dissatisfied,dissatisfied
1808,dissatisfied,dissatisfied
1809,satisfied,dissatisfied
1812,satisfied,satisfied
1814,satisfied,satisfied
1815,satisfied,satisfied
1816,satisfied,satisfied
1817,satisfied,satisfied
1818,satisfied,satisfied
1819,satisfied,satisfied
1820,satisfied,satisfied
1822,satisfied,satisfied
1823,satisfied,satisfied
1824,satisfied,satisfied
1825,satisfied,satisfied
1836,satisfied,dissatisfied
1838,satisfied,dissatisfied
1839,dissatisfied,dissatisfied
1842,satisfied,satisfied
1843,satisfied,satisfied
1844,satisfied,satisfied
1846,satisfied,satisfied
1847,satisfied,satisfied
1848,satisfied,satisfied
1849,satisfied,satisfied
1852,satisfied,satisfied
1853,satisfied,satisfied
1861,dissatisfied,dissatisfied
1862,satisfied,dissatisfied
1864,dissatisfied,satisfied
1866,satisfied,satisfied
1867,satisfied,satisfied
1868,satisfied,satisfied
1869,satisfied,satisfied
1870,satisfied,satisfied
1871,satisfied,satisfied
1872,satisfied,satisfied
1873,satisfied,satisfied
1874,satisfied,satisfied
1876,satisfied,satisfied
1877,satisfied,satisfied
1879,dissatisfied,dissatisfied
1886,dissatisfied,dissatisfied
1887,dissatisfied,satisfied
1888,dissatisfied,dissatisfied
1889,dissatisfied,dissatisfied
1890,satisfied,dissatisfied
1891,dissatisfied,satisfied
1894,satisfied,satisfied
1895,dissatisfied,satisfied
1899,satisfied,satisfied
1900,satisfied,satisfied
1901,satisfied,satisfied
1902,satisfied,satisfied
1903,satisfied,satisfied
1904,satisfied,satisfied
1905,satisfied,satisfied
1909,satisfied,satisfied
1911,satisfied,dissatisfied
1912,dissatisfied,dissatisfied
1913,satisfied,dissatisfied
1915,satisfied,satisfied
1917,satisfied,satisfied
1918,dissatisfied,satisfied
1919,dissatisfied,satisfied
1920,satisfied,satisfied
1921,satisfied,satisfied
1923,satisfied,satisfied
1924,satisfied,satisfied
1926,satisfied,satisfied
1927,satisfied,satisfied
1928,satisfied,satisfied
1930,satisfied,satisfied
1931,satisfied,satisfied
1936,satisfied,dissatisfied
1937,dissatisfied,dissatisfied
1939,satisfied,dissatisfied
1941,satisfied,satisfied
1942,satisfied,satisfied
1943,satisfied,satisfied
1945,satisfied,satisfied
1947,satisfied,satisfied
1948,satisfied,satisfied
1949,satisfied,satisfied
1952,satisfied,satisfied
1953,satisfied,satisfied
1955,satisfied,satisfied
1957,satisfied,satisfied
1958,satisfied,satisfied
1961,satisfied,satisfied
1966,dissatisfied,dissatisfied
1967,dissatisfied,dissatisfied
1970,satisfied,dissatisfied
